Name,NACA 0012 Airfoil M=0.0% P=0.0% T=12.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.126000
99.975300,0.129500
99.901300,0.139800
99.778100,0.157100
99.605700,0.181200
99.384400,0.212000
99.114400,0.249600
98.795800,0.293700
98.429200,0.344300
98.014700,0.401200
97.552800,0.464200
97.044000,0.533300
96.488800,0.608200
95.887700,0.688700
95.241400,0.774600
94.550300,0.865800
93.815300,0.961900
93.037100,1.062800
92.216400,1.168100
91.354000,1.277800
90.450800,1.391400
89.507800,1.508800
88.525700,1.629700
87.505600,1.753900
86.448400,1.880900
85.355300,2.010700
84.227400,2.142900
83.065600,2.277300
81.871200,2.413500
80.645400,2.551400
79.389300,2.690500
78.104200,2.830700
76.791300,2.971700
75.452100,3.113100
74.087700,3.254700
72.699500,3.396200
71.289000,3.537400
69.857400,3.677800
68.406200,3.817200
66.936900,3.955300
65.450800,4.091700
63.949600,4.226300
62.434500,4.358500
60.907200,4.488200
59.369100,4.614900
57.821700,4.738300
56.266700,4.858100
54.705400,4.973900
53.139500,5.085400
51.570500,5.192300
50.000000,5.294000
48.429500,5.390400
46.860500,5.481000
45.294600,5.565500
43.733300,5.643600
42.178300,5.714800
40.630900,5.778900
39.092800,5.835500
37.565500,5.884400
36.050400,5.925100
34.549200,5.957500
33.063100,5.981200
31.593800,5.996000
30.142600,6.001700
28.711000,5.998000
27.300500,5.984800
25.912300,5.961900
24.547900,5.929200
23.208700,5.886600
21.895800,5.834000
20.610700,5.771400
19.354600,5.698700
18.128800,5.616000
16.934400,5.523300
15.772600,5.420700
14.644700,5.308300
13.551600,5.186300
12.494400,5.054700
11.474300,4.913800
10.492200,4.763800
9.549200,4.604900
8.646000,4.437400
7.783600,4.261500
6.962900,4.077600
6.184700,3.885900
5.449700,3.686700
4.758600,3.480300
4.112300,3.267100
3.511200,3.047300
2.956000,2.821300
2.447200,2.589300
1.985300,2.351700
1.570800,2.108800
1.204200,1.860700
0.885600,1.607800
0.615600,1.350300
0.394300,1.088400
0.221900,0.822300
0.098700,0.552100
0.024700,0.277900
0.000000,0.000000
0.024700,-0.277900
0.098700,-0.552100
0.221900,-0.822300
0.394300,-1.088400
0.615600,-1.350300
0.885600,-1.607800
1.204200,-1.860700
1.570800,-2.108800
1.985300,-2.351700
2.447200,-2.589300
2.956000,-2.821300
3.511200,-3.047300
4.112300,-3.267100
4.758600,-3.480300
5.449700,-3.686700
6.184700,-3.885900
6.962900,-4.077600
7.783600,-4.261500
8.646000,-4.437400
9.549200,-4.604900
10.492200,-4.763800
11.474300,-4.913800
12.494400,-5.054700
13.551600,-5.186300
14.644700,-5.308300
15.772600,-5.420700
16.934400,-5.523300
18.128800,-5.616000
19.354600,-5.698700
20.610700,-5.771400
21.895800,-5.834000
23.208700,-5.886600
24.547900,-5.929200
25.912300,-5.961900
27.300500,-5.984800
28.711000,-5.998000
30.142600,-6.001700
31.593800,-5.996000
33.063100,-5.981200
34.549200,-5.957500
36.050400,-5.925100
37.565500,-5.884400
39.092800,-5.835500
40.630900,-5.778900
42.178300,-5.714800
43.733300,-5.643600
45.294600,-5.565500
46.860500,-5.481000
48.429500,-5.390400
50.000000,-5.294000
51.570500,-5.192300
53.139500,-5.085400
54.705400,-4.973900
56.266700,-4.858100
57.821700,-4.738300
59.369100,-4.614900
60.907200,-4.488200
62.434500,-4.358500
63.949600,-4.226300
65.450800,-4.091700
66.936900,-3.955300
68.406200,-3.817200
69.857400,-3.677800
71.289000,-3.537400
72.699500,-3.396200
74.087700,-3.254700
75.452100,-3.113100
76.791300,-2.971700
78.104200,-2.830700
79.389300,-2.690500
80.645400,-2.551400
81.871200,-2.413500
83.065600,-2.277300
84.227400,-2.142900
85.355300,-2.010700
86.448400,-1.880900
87.505600,-1.753900
88.525700,-1.629700
89.507800,-1.508800
90.450800,-1.391400
91.354000,-1.277800
92.216400,-1.168100
93.037100,-1.062800
93.815300,-0.961900
94.550300,-0.865800
95.241400,-0.774600
95.887700,-0.688700
96.488800,-0.608200
97.044000,-0.533300
97.552800,-0.464200
98.014700,-0.401200
98.429200,-0.344300
98.795800,-0.293700
99.114400,-0.249600
99.384400,-0.212000
99.605700,-0.181200
99.778100,-0.157100
99.901300,-0.139800
99.975300,-0.129500
100.000000,-0.126000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.024700,0.000000
0.098700,0.000000
0.221900,0.000000
0.394300,0.000000
0.615600,0.000000
0.885600,0.000000
1.204200,0.000000
1.570800,0.000000
1.985300,0.000000
2.447200,0.000000
2.956000,0.000000
3.511200,0.000000
4.112300,0.000000
4.758600,0.000000
5.449700,0.000000
6.184700,0.000000
6.962900,0.000000
7.783600,0.000000
8.646000,0.000000
9.549200,0.000000
10.492200,0.000000
11.474300,0.000000
12.494400,0.000000
13.551600,0.000000
14.644700,0.000000
15.772600,0.000000
16.934400,0.000000
18.128800,0.000000
19.354600,0.000000
20.610700,0.000000
21.895800,0.000000
